nome_cientifico,reino,filo,classe,ordem,familia,genero,grupo_taxonomico
Thoropa lutzi,Animalia,Chordata,Amphibia,Anura,Cycloramphidae,Thoropa,anfibios
Megascops alagoensis,Animalia,Chordata,Aves,Strigiformes,Strigidae,Megascops,aves
Psophia interjecta,Animalia,Chordata,Aves,Gruiformes,Psophiidae,Psophia,aves
Parotocinclus spilosoma,Animalia,Chordata,Actinopterygii,Siluriformes,Loricariidae,Parotocinclus,peixes
Cacicus koepckeae,Animalia,Chordata,Aves,Passeriformes,Icteridae,Cacicus,aves
Ituglanis mambai,Animalia,Chordata,Actinopterygii,Siluriformes,Trichomycteridae,Ituglanis,peixes
Glaucomastix abaetensis,Animalia,Chordata,Reptilia,Squamata,Teiidae,Glaucomastix,repteis
Schizogenius ocellatus,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Schizogenius,insetos
Phaethon aethereus,Animalia,Chordata,Aves,Phaethontiformes,Phaethontidae,Phaethon,aves
Charinus asturius,Animalia,Arthropoda,Arachnida,Amblypygi,Charinidae,Charinus,aracnideos
Nothura minor,Animalia,Chordata,Aves,Tinamiformes,Tinamidae,Nothura,aves
Carcharhinus falciformis,Animalia,Chordata,Elasmobranchii,Carcharhiniformes,Carcharhinidae,Carcharhinus,peixes
Carcharhinus plumbeus,Animalia,Chordata,Elasmobranchii,Carcharhiniformes,Carcharhinidae,Carcharhinus,peixes
Pteronura brasiliensis,Animalia,Chordata,Mammalia,Carnivora,Mustelidae,Pteronura,mamiferos
Xiphocolaptes falcirostris,Animalia,Chordata,Aves,Passeriformes,Dendrocolaptidae,Xiphocolaptes,aves
Cyanocyclas guahybensis,Animalia,Mollusca,Bivalvia,Venerida,Cyrenidae,Cyanocyclas,moluscos
Matilebias ibicuiensis,Animalia,Chordata,Actinopterygii,Cyprinodontiformes,Rivulidae,Matilebias,peixes
Archolaemus ferreirai,Animalia,Chordata,Actinopterygii,Gymnotiformes,Sternopygidae,Archolaemus,peixes
Melanorivulus egens,Animalia,Chordata,Actinopterygii,Cyprinodontiformes,Rivulidae,Melanorivulus,peixes
Nemosia rourei,Animalia,Chordata,Aves,Passeriformes,Thraupidae,Nemosia,aves
Sphyrna lewini,Animalia,Chordata,Elasmobranchii,Carcharhiniformes,Sphyrnidae,Sphyrna,peixes
Mussismilia braziliensis,Animalia,Cnidaria,Anthozoa,Scleractinia,Faviidae,Mussismilia,outros
Dichotomius eucranioides,Animalia,Arthropoda,Insecta,Coleoptera,Scarabaeidae,Dichotomius,insetos
Linckia guildingi,Animalia,Echinodermata,Asteroidea,Valvatida,Ophidiasteridae,Linckia,outros
Alouatta ululata,Animalia,Chordata,Mammalia,Primates,Atelidae,Alouatta,mamiferos
Leposoma sinepollex,Animalia,Chordata,Reptilia,Squamata,Gymnophthalmidae,Leposoma,repteis
Eudolichotis lacerta,Animalia,Mollusca,Gastropoda,Pulmonata,Bulimulidae,Eudolichotis,moluscos
