nome_cientifico,nome_popular,reino,filo,classe,ordem,familia,genero,grupo_taxonomico
Squatina guggenheim,,Animalia,Chordata,Elasmobranchii,Squatiniformes,Squatinidae,Squatina,peixes
Synallaxis infuscata,rabo-espinhoso-nordestino,Animalia,Chordata,Aves,Passeriformes,Furnariidae,Synallaxis,aves
Rhopornis ardesiacus,formigueiro-esbelto,Animalia,Chordata,Aves,Passeriformes,Thamnophilidae,Rhopornis,aves
Parastacus tuerkayi,,Animalia,Arthropoda,Malacostraca,Decapoda,Parastacidae,Parastacus,crustaceos
Hypsolebias shibattai,,Animalia,Chordata,Actinopterygii,Cyprinodontiformes,Rivulidae,Hypsolebias,peixes
Hypsolebias flavicaudatus,Peixe-anual,Animalia,Chordata,Actinopterygii,Cyprinodontiformes,Rivulidae,Hypsolebias,peixes
Glossoscolex matogrossensis,Minhoca,Animalia,Annelida,Clitellata,Haplotaxida,Glossoscolecidae,Glossoscolex,outros
Callicebus nigrifrons,Guigó,Animalia,Chordata,Mammalia,Primates,Pitheciidae,Callicebus,mamiferos
Leontopithecus chrysomelas,Mico-leão-de-cara-dourada,Animalia,Chordata,Mammalia,Primates,Callitrichidae,Leontopithecus,mamiferos
Ameiva parecis,Calango,Animalia,Chordata,Reptilia,Squamata,Teiidae,Ameiva,repteis
Philodryas livida,Corre-Campo,Animalia,Chordata,Reptilia,Squamata,Dipsadidae,Philodryas,repteis
Thamnophilus nigrocinereus huberi,,Animalia,Chordata,Aves,Passeriformes,Thamnophilidae,Thamnophilus,aves
Inia araguaiaensis,Boto-do-Araguaia,Animalia,Chordata,Mammalia,Artiodactyla,Iniidae,Inia,mamiferos
Spelaeochernes gracilipalpus,falso escorpião,Animalia,Arthropoda,Arachnida,Pseudoscorpiones,Chernetidae,Spelaeochernes,aracnideos
Melanorivulus leali,,Animalia,Chordata,Actinopterygii,Cyprinodontiformes,Rivulidae,Melanorivulus,peixes
Leposoma puk,,Animalia,Chordata,Reptilia,Squamata,Gymnophthalmidae,Leposoma,repteis
Hypsolebias lopesi,Peixe-anual,Animalia,Chordata,Actinopterygii,Cyprinodontiformes,Rivulidae,Hypsolebias,peixes
Ginglymostoma cirratum,Cação-lixa,Animalia,Chordata,Elasmobranchii,Orectolobiformes,Ginglymostomatidae,Ginglymostoma,peixes
Ozotoceros bezoarticus leucogaster,Veado,Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,Ozotoceros,mamiferos
Chiasmocleis alagoana,,Animalia,Chordata,Amphibia,Anura,Microhylidae,Chiasmocleis,anfibios
Scriptosaura catimbau,,Animalia,Chordata,Reptilia,Squamata,Gymnophthalmidae,Scriptosaura,repteis
Tinamus tao,azulona,Animalia,Chordata,Aves,Tinamiformes,Tinamidae,Tinamus,aves
Trichomycterus dali,Bagrinho-cego-da-serra-da-bodoquena,Animalia,Chordata,Actinopterygii,Siluriformes,Trichomycteridae,Trichomycterus,peixes
Ophthalmolebias rosaceus,Peixe-anual,Animalia,Chordata,Actinopterygii,Cyprinodontiformes,Rivulidae,Ophthalmolebias,peixes
Bothrops sazimai,,Animalia,Chordata,Reptilia,Squamata,Viperidae,Bothrops,repteis
Glossoscolex riograndensis,Minhocas,Animalia,Annelida,Clitellata,Haplotaxida,Glossoscolecidae,Glossoscolex,outros
Sapajus cay,Macaco Prego,Animalia,Chordata,Mammalia,Primates,Cebidae,Sapajus,mamiferos
Coarazuphium kayapo,,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Coarazuphium,insetos
Atlantodesmus pickeli,,Animalia,Arthropoda,Diplopoda,Polydesmida,Chelodesmidae,Atlantodesmus,outros
Penelope jacucaca,guano-de-sobrancelhas,Animalia,Chordata,Aves,Galliformes,Cracidae,Penelope,aves
Malacoptila minor,,Animalia,Chordata,Aves,Galbuliformes,Bucconidae,Malacoptila,aves
Ctenomys flamarioni,Tuco-tuco-das-dunas,Animalia,Chordata,Mammalia,Rodentia,Ctenomyidae,Ctenomys,mamiferos
Chelonoidis carbonarius,Jabuti-Vermelho,Animalia,Chordata,Reptilia,Testudines,Testudinidae,Chelonoidis,repteis
Crenicichla jupiaensis,Joaninha,Animalia,Chordata,Actinopterygii,Cichliformes,Cichlidae,Crenicichla,peixes
Neomorphus squamiger,cuco-terrestre-escamoso,Animalia,Chordata,Aves,Cuculiformes,Cuculidae,Neomorphus,aves
Indiani gaspar,,Animalia,Arthropoda,Arachnida,Araneae,Gnaphosidae,Indiani,aracnideos
Crax blumenbachii,mutum-de-bico-vermelho,Animalia,Chordata,Aves,Galliformes,Cracidae,Crax,aves
Macrobrachium denticulatum,camarão pitú,Animalia,Arthropoda,Malacostraca,Decapoda,Palaemonidae,Macrobrachium,crustaceos
Amphisbaena tiaraju,,Animalia,Chordata,Reptilia,Squamata,Amphisbaenidae,Amphisbaena,repteis
Xipholena lamellipennis,Bacacu-preto,Animalia,Chordata,Aves,Passeriformes,Cotingidae,Xipholena,aves
Atlantirivulus maricensis,Rivúlo-bege,Animalia,Chordata,Actinopterygii,Cyprinodontiformes,Rivulidae,Atlantirivulus,peixes
Phrynops williamsi,Cágado-de-Ferradura,Animalia,Chordata,Reptilia,Testudines,Chelidae,Phrynops,repteis
Mycetopoda legumen,Bivalve,Animalia,Mollusca,Bivalvia,Unionida,Mycetopodidae,Mycetopoda,moluscos
Myliobatis goodei,Raia-de-Goode,Animalia,Chordata,Elasmobranchii,Myliobatiformes,Myliobatidae,Myliobatis,peixes
Microglanis robustus,Bagrinho,Animalia,Chordata,Actinopterygii,Siluriformes,Pseudopimelodidae,Microglanis,peixes
Makaira nigricans,Espadarte-sombra,Animalia,Chordata,Actinopterygii,Perciformes,Istiophoridae,Makaira,peixes
Phyllomys brasiliensis,Rato-da-árvore,Animalia,Chordata,Mammalia,Rodentia,Echimyidae,Phyllomys,mamiferos
Ferricixius davidi,,Animalia,Arthropoda,Insecta,Hemiptera,Cixiidae,Ferricixius,insetos
Crax globulosa,Mutum-fava,Animalia,Chordata,Aves,Galliformes,Cracidae,Crax,aves
Scytalopus gonzagai,tapaculo-de-boa-nova,Animalia,Chordata,Aves,Passeriformes,Rhinocryptidae,Scytalopus,aves
Burhinus bistriatus,alcaravão-americano,Animalia,Chordata,Aves,Charadriiformes,Burhinidae,Burhinus,aves
Lavajatus moroi,,Animalia,Mollusca,Gastropoda,Stylommatophora,Achatinidae,Lavajatus,moluscos
Xenohyla truncata,Perereca-Fruta,Animalia,Chordata,Amphibia,Anura,Hylidae,Xenohyla,anfibios
Eukoenenia neytiri,,Animalia,Arthropoda,Arachnida,Palpigradi,Eukoeneniidae,Eukoenenia,aracnideos
Trinomys minor,,Animalia,Chordata,Mammalia,Rodentia,Echimyidae,Trinomys,mamiferos
Apostolepis arenaria,Cobra-rainha do São Francisco,Animalia,Chordata,Reptilia,Squamata,Dipsadidae,Apostolepis,repteis
Cyphocharax jagunco,Saguiru,Animalia,Chordata,Actinopterygii,Characiformes,Curimatidae,Cyphocharax,peixes
Lopholatilus villarii,Peixe-batata,Animalia,Chordata,Actinopterygii,Acanthuriformes,Latilidae,Lopholatilus,peixes
Pterodroma madeira,Freira da Madeira,Animalia,Chordata,Aves,Procellariiformes,Procellariidae,Pterodroma,aves
Spelaeogammarus ginae,,Animalia,Arthropoda,Malacostraca,Amphipoda,Artesiidae,Spelaeogammarus,crustaceos
Callithrix aurita,Sagüi-da-serra-escuro,Animalia,Chordata,Mammalia,Primates,Callitrichidae,Callithrix,mamiferos
Sparisoma axillare,Peixe-papagaio-cinzento,Animalia,Chordata,Actinopterygii,Perciformes,Scaridae,Sparisoma,peixes
Lebiasina marilynae,Peixe-lápis,Animalia,Chordata,Actinopterygii,Characiformes,Lebiasinidae,Lebiasina,peixes
Trogon muriciensis,surucuá-de-murici,Animalia,Chordata,Aves,Trogoniformes,Trogonidae,Trogon,aves
